title,keyword,gross,release_date,corrected_budget
Forrest Gump,americana,329694499,1994-07-06,55000000.0
A League of Their Own,americana,107533928,1992-07-01,40000000.0
Fargo,americana,24611975,1996-03-08,7000000.0
There Will Be Blood,americana,40222514,2007-12-26,25000000.0
Blue Velvet,americana,8551228,1986-09-19,6000000.0
Walking Tall,americana,46437717,2004-04-02,46000000.0
W.,americana,25534493,2008-10-17,25100000.0
Serial Mom,americana,7820688,1994-04-13,13000000.0
Divine Secrets of the Ya-Ya Sisterhood,americana,69599016,2002-06-07,27000000.0
My Dog Skip,americana,34134641,2000-01-14,6000000.0
Watchmen,avant-garde,107509799,2009-03-06,130000000.0
2001: A Space Odyssey,avant-garde,56715371,1968-04-03,12000000.0
A Clockwork Orange,avant-garde,26589355,1972-02-02,2200000.0
Donnie Darko,avant-garde,517375,2001-10-26,6000000.0
Memento,avant-garde,25544867,2001-03-16,9000000.0
Ex Machina,avant-garde,25442958,2015-04-10,15000000.0
Bram Stoker's Dracula,avant-garde,82522790,1992-11-13,40000000.0
Blue Velvet,avant-garde,8551228,1986-09-19,6000000.0
The American,avant-garde,35606376,2010-09-01,20000000.0
The Tree of Life,avant-garde,13303319,2011-05-27,32000000.0
Patch Adams,avant-garde,135026902,1998-12-25,90000000.0
The Lion King,battle,312855561,1994-06-15,45000000.0
It,battle,327481748,2017-09-08,35000000.0
Fantastic Beasts: The Crimes of Grindelwald,battle,159555901,2018-11-16,200000000.0
Spider-Man: Homecoming,battle,334201140,2017-07-07,175000000.0
Thor: Ragnarok,battle,315058289,2017-11-03,180000000.0
Avatar,battle,749766139,2009-12-18,237000000.0
Suicide Squad,battle,325100054,2016-08-05,175000000.0
Deadpool 2,battle,318491426,2018-05-18,110000000.0
Overlord,battle,21704844,2018-11-09,38000000.0
Guardians of the Galaxy,battle,333176600,2014-08-01,170000000.0
Inception,battle,292576195,2010-07-16,160000000.0
The Hunger Games,battle,408010692,2012-03-23,78000000.0
Robin Hood,battle,105269730,2010-05-14,200000000.0
Forrest Gump,battle,329694499,1994-07-06,55000000.0
Doctor Strange,battle,232641920,2016-11-04,165000000.0
Ready Player One,battle,137690172,2018-03-29,175000000.0
Captain America: Civil War,battle,408084349,2016-05-06,250000000.0
The Lord of the Rings: The Fellowship of the Ring,battle,313364114,2001-12-19,93000000.0
Gladiator,battle,187705427,2000-05-05,103000000.0
Mile 22,battle,36108758,2018-08-17,50000000.0
The Dark Knight Rises,battle,448139099,2012-07-20,250000000.0
Terminator 2: Judgment Day,battle,204843345,1991-07-03,102000000.0
Thor,battle,181030624,2011-05-06,150000000.0
Kong: Skull Island,battle,168052812,2017-03-10,185000000.0
Solo: A Star Wars Story,battle,213767512,2018-05-25,275000000.0
Guardians of the Galaxy Vol. 2,battle,389813101,2017-05-05,200000000.0
Beauty and the Beast,battle,145863363,1991-11-15,25000000.0
Hellboy,battle,59623958,2004-04-02,66000000.0
The Lion King,betrayal,312855561,1994-06-15,45000000.0
Bohemian Rhapsody,betrayal,216428042,2018-11-02,52000000.0
It,betrayal,327481748,2017-09-08,35000000.0
Inglourious Basterds,betrayal,120540719,2009-08-21,70000000.0
Fantastic Beasts: The Crimes of Grindelwald,betrayal,159555901,2018-11-16,200000000.0
Thor: Ragnarok,betrayal,315058289,2017-11-03,180000000.0
A Simple Favor,betrayal,53548586,2018-09-14,20000000.0
Blade Runner 2049,betrayal,92054159,2017-10-06,150000000.0
The Shawshank Redemption,betrayal,28341469,1994-09-23,25000000.0
The Dark Knight,betrayal,533345358,2008-07-18,185000000.0
The Hateful Eight,betrayal,54117416,2015-12-25,44000000.0
Interstellar,betrayal,188020017,2014-11-05,165000000.0
Avatar,betrayal,749766139,2009-12-18,237000000.0
Suicide Squad,betrayal,325100054,2016-08-05,175000000.0
John Wick,betrayal,43037835,2014-10-24,20000000.0
Reservoir Dogs,betrayal,2832029,1992-10-23,1200000.0
The Wolf of Wall Street,betrayal,116900694,2013-12-25,100000000.0
Mission: Impossible - Fallout,betrayal,220159104,2018-07-27,178000000.0
The Godfather,betrayal,133698921,1972-03-15,6000000.0
Get Out,betrayal,176040665,2017-02-24,4500000.0
Guardians of the Galaxy,betrayal,333176600,2014-08-01,170000000.0
Batman Begins,betrayal,205343774,2005-06-15,150000000.0
The Matrix,betrayal,171479930,1999-03-31,63000000.0
Mad Max: Fury Road,betrayal,153636354,2015-05-15,150000000.0
Inception,betrayal,292576195,2010-07-16,160000000.0
Baby Driver,betrayal,107825862,2017-06-28,34000000.0
The Spy Who Dumped Me,betrayal,33562069,2018-08-03,40000000.0
Robin Hood,betrayal,105269730,2010-05-14,200000000.0
The Meg,betrayal,145443742,2018-08-10,130000000.0
The Mule,biker,103804407,2018-12-14,50000000.0
Terminator 2: Judgment Day,biker,204843345,1991-07-03,102000000.0
From Dusk Till Dawn,biker,25836616,1996-01-19,19000000.0
Batman Forever,biker,184031112,1995-06-16,100000000.0
10 Things I Hate About You,biker,38178166,1999-03-31,30000000.0
Little Miss Sunshine,biker,59891098,2006-07-26,8000000.0
Ghost Rider,biker,115802596,2007-02-16,110000000.0
The First Purge,biker,69488745,2018-07-04,13000000.0
Indiana Jones and the Kingdom of the Crystal Skull,biker,317101119,2008-05-22,185000000.0
Homefront,biker,20158898,2013-11-27,22000000.0
Anchorman: The Legend of Ron Burgundy,biker,85288303,2004-07-09,26000000.0
Erin Brockovich,biker,125595205,2000-03-17,52000000.0
Ghost Rider: Spirit of Vengeance,biker,51774002,2012-02-17,57000000.0
Dawn of the Dead,biker,59020957,2004-03-19,26000000.0
The SpongeBob SquarePants Movie,biker,85417988,2004-11-19,30000000.0
Ride Along,biker,134938200,2014-01-17,25000000.0
The Lion King,blockbuster,312855561,1994-06-15,45000000.0
It,blockbuster,327481748,2017-09-08,35000000.0
Pulp Fiction,blockbuster,107928762,1994-10-14,8000000.0
Fantastic Beasts: The Crimes of Grindelwald,blockbuster,159555901,2018-11-16,200000000.0
Spider-Man: Homecoming,blockbuster,334201140,2017-07-07,175000000.0
Thor: Ragnarok,blockbuster,315058289,2017-11-03,180000000.0
The Dark Knight,blockbuster,533345358,2008-07-18,185000000.0
Interstellar,blockbuster,188020017,2014-11-05,165000000.0
Avatar,blockbuster,749766139,2009-12-18,237000000.0
Suicide Squad,blockbuster,325100054,2016-08-05,175000000.0
Mission: Impossible - Fallout,blockbuster,220159104,2018-07-27,178000000.0
Harry Potter and the Sorcerer's Stone,blockbuster,317575550,2001-11-16,125000000.0
Titanic,blockbuster,600788188,1997-12-19,200000000.0
Get Out,blockbuster,176040665,2017-02-24,4500000.0
Guardians of the Galaxy,blockbuster,333176600,2014-08-01,170000000.0
Batman Begins,blockbuster,205343774,2005-06-15,150000000.0
The Matrix,blockbuster,171479930,1999-03-31,63000000.0
Inception,blockbuster,292576195,2010-07-16,160000000.0
The Hunger Games,blockbuster,408010692,2012-03-23,78000000.0
Forrest Gump,blockbuster,329694499,1994-07-06,55000000.0
The Silence of the Lambs,blockbuster,130742922,1991-02-14,19000000.0
Spider-Man,blockbuster,403706375,2002-05-03,139000000.0
Doctor Strange,blockbuster,232641920,2016-11-04,165000000.0
Ready Player One,blockbuster,137690172,2018-03-29,175000000.0
Captain America: Civil War,blockbuster,408084349,2016-05-06,250000000.0
Gladiator,blockbuster,187705427,2000-05-05,103000000.0
Alien,blockbuster,78944891,1979-05-25,11000000.0
A League of Their Own,blockbuster,107533928,1992-07-01,40000000.0
The Dark Knight Rises,blockbuster,448139099,2012-07-20,250000000.0
Iron Man,blockbuster,318412101,2008-05-02,140000000.0
Jurassic Park,blockbuster,357067947,1993-06-11,63000000.0
Back to the Future,blockbuster,210609762,1985-07-03,19000000.0
The Shining,blockbuster,44017374,1980-05-23,19000000.0
2001: A Space Odyssey,blockbuster,56715371,1968-04-03,12000000.0
Terminator 2: Judgment Day,blockbuster,204843345,1991-07-03,102000000.0
The Love Guru,bollywood,32235793,2008-06-20,62000000.0
Hero,bollywood,53710019,2004-08-27,31000000.0
Superman,bollywood,134218018,1978-12-15,55000000.0
The Wolf of Wall Street,business,116900694,2013-12-25,100000000.0
There Will Be Blood,business,40222514,2007-12-26,25000000.0
Moneyball,business,75605492,2011-09-23,50000000.0
Office Space,business,10827810,1999-02-19,10000000.0
The Other Guys,business,119219978,2010-08-06,100000000.0
Meet Joe Black,business,44619100,1998-11-13,90000000.0
Inside Man,business,88513495,2006-03-24,45000000.0
Network,business,23689877,1976-11-27,3800000.0
Captain Phillips,business,107100855,2013-10-11,55000000.0
You've Got Mail,business,115821495,1998-12-18,65000000.0
Up in the Air,business,83823381,2009-12-04,25000000.0
The Insider,business,29089912,1999-11-05,90000000.0
Disclosure,business,83015089,1994-12-09,55000000.0
Extract,business,10823158,2009-09-04,8000000.0
Wall Street: Money Never Sleeps,business,52474616,2010-09-24,70000000.0
Johnny Mnemonic,business,19075720,1995-05-26,26000000.0
The Believer,business,416925,2002-05-17,1500000.0
Jobs,business,16131410,2013-08-16,12000000.0
The Boss,business,63285885,2016-04-08,29000000.0
Elizabethtown,business,26850426,2005-10-14,45000000.0
Paranoia,business,7385015,2013-08-16,35000000.0
Baby Driver,caper,107825862,2017-06-28,34000000.0
The Spy Who Dumped Me,caper,33562069,2018-08-03,40000000.0
Ant-Man,caper,180202163,2015-07-17,130000000.0
Sucker Punch,caper,36392502,2011-03-25,82000000.0
Logan Lucky,caper,27780977,2017-08-18,29000000.0
Mission: Impossible - Ghost Protocol,caper,209397903,2011-12-16,145000000.0
Ocean's Eleven,caper,183417150,2001-12-07,85000000.0
Inside Man,caper,88513495,2006-03-24,45000000.0
The Italian Job,caper,106128601,2003-05-30,60000000.0
Ocean's Twelve,caper,125544280,2004-12-10,110000000.0
The Score,caper,71107711,2001-07-13,68000000.0
The Thomas Crown Affair,caper,69305181,1999-08-06,48000000.0
Heartbreakers,caper,40336607,2001-03-23,35000000.0
Mortdecai,caper,7696134,2015-01-23,60000000.0
Keeping Up with the Joneses,caper,14904426,2016-10-21,40000000.0
Three Kings,caper,60652036,1999-10-01,75000000.0
The Three Stooges,caper,44338224,2012-04-13,30000000.0
Tower Heist,caper,78046570,2011-11-04,75000000.0
Bottle Rocket,caper,560069,1996-02-21,7000000.0
The Thomas Crown Affair,caper,69305181,1999-08-06,48000000.0
1941,caper,31755742,1979-12-14,35000000.0
