title, kind, keyword
Mad Men (2007–2015)), movie, americana
Forrest Gump, movie, americana
American Gods (2017–), movie, americana
A League of Their Own, movie, americana
Little House on the Prairie (1974–1983)), movie, americana
Fargo, movie, americana
What's Eating Gilbert Grape, movie, americana
The Andy Griffith Show (1960–1968)), movie, americana
American Graffiti, movie, americana
There Will Be Blood, movie, americana
Wildlife, movie, americana
The Rocky Horror Picture Show, movie, americana
The Waltons (1971–1981)), movie, americana
Blue Velvet, movie, americana
The Wonder Years (1988–1993)), movie, americana
It's a Wonderful Life, movie, americana
"O Brother\, Where Art Thou?", movie, americana
Across the Universe, movie, americana
The Girl Next Door, movie, americana
Leave It to Beaver (1957–1963)), movie, americana
Convoy, movie, americana
Walking Tall, movie, americana
A River Runs Through It, movie, americana
The Last Picture Show, movie, americana
Giant, movie, americana
Days of Heaven, movie, americana
The Natural, movie, americana
Peggy Sue Got Married, movie, americana
W. ), movie, americana
Serial Mom, movie, americana
Divine Secrets of the Ya-Ya Sisterhood, movie, americana
Oklahoma!, movie, americana
Death Valley Days (1952–1970)), movie, americana
How to Make an American Quilt, movie, americana
Sgt. Stubby: An American Hero, movie, americana
My Blueberry Nights, movie, americana
The Best Years of Our Lives, movie, americana
Wild Hearts Can't Be Broken, movie, americana
Shadow of a Doubt, movie, americana
Far Cry 5, movie, americana
My Dog Skip, movie, americana
Meet Me in St. Louis, movie, americana
"The Long\, Long Trailer", movie, americana
Pollyanna, movie, americana
American Experience (1988–), movie, americana
Peyton Place (1964–1969)), movie, americana
Hud, movie, americana
The Road to Wellville, movie, americana
Mannequin: On the Move, movie, americana
Meet Monica Velour, movie, americana
Attack on Titan (2013–), movie, anime
One Punch Man (2015–), movie, anime
Spirited Away, movie, anime
Your Name., movie, anime
My Hero Academia (2016–), movie, anime
Death Note (2006–2007)), movie, anime
JoJo's Bizarre Adventure (2012–), movie, anime
Fullmetal Alchemist: Brotherhood (2009–2012)), movie, anime
Naruto: Shippûden (2007–2017)), movie, anime
Howl's Moving Castle, movie, anime
Castlevania (2017–), movie, anime
Wan pîsu (1999–), movie, anime
Hunter x Hunter (2011–2014)), movie, anime
Akira, movie, anime
A Silent Voice, movie, anime
Sword Art Online (2012–), movie, anime
Naruto (2002–2007)), movie, anime
Pokémon (1997–), movie, anime
Fairy Tail (2009–), movie, anime
Princess Mononoke, movie, anime
Dragon Ball Z (1996–2003)), movie, anime
Grave of the Fireflies, movie, anime
Cowboy Bebop (1998–1999)), movie, anime
Saint Seiya (1986–1989)), movie, anime
Tokyo Ghoul, movie, anime
Ghost in the Shell, movie, anime
Dragon Ball Super (2015–2018)), movie, anime
Neon Genesis Evangelion: The End of Evangelion, movie, anime
Gunnm, movie, anime
My Neighbor Totoro, movie, anime
High School DxD (2012–), movie, anime
Dragon Ball Super: Broly, movie, anime
Violet Evergarden, movie, anime
Kimba the White Lion (1965–1967)), movie, anime
Ponyo, movie, anime
Steins;Gate (2011–2015)), movie, anime
Kimetsu no Yaiba (2019–), movie, anime
Bleach: Burîchi (2004–2012)), movie, anime
Code Geass: Lelouch of the Rebellion (2006–2012)), movie, anime
Kiki's Delivery Service, movie, anime
Boruto: Naruto Next Generations (2017–), movie, anime
Perfect Blue, movie, anime
Mob Psycho 100 (2016–), movie, anime
Fullmetal Alchemist (2003–), movie, anime
Pokémon the Movie: Mewtwo Strikes Back Evolution, movie, anime
The Wind Rises, movie, anime
Nausicaä of the Valley of the Wind, movie, anime
Mirai, movie, anime
DanMachi: Is It Wrong to Try to Pick Up Girls in a Dungeon? (2015–), movie, anime
Castle in the Sky, movie, anime
Watchmen, movie, avant-garde
2001: A Space Odyssey, movie, avant-garde
A Clockwork Orange, movie, avant-garde
Donnie Darko, movie, avant-garde
The Big Lebowski, movie, avant-garde
Memento, movie, avant-garde
Ex Machina, movie, avant-garde
"Salò\, or the 120 Days of Sodom", movie, avant-garde
Bram Stoker's Dracula, movie, avant-garde
Mulholland Drive, movie, avant-garde
The Neon Demon, movie, avant-garde
A Nightmare on Elm Street, movie, avant-garde
I Am the Night, movie, avant-garde
Easy Rider, movie, avant-garde
Sex and Zen, movie, avant-garde
Revenge ), movie, avant-garde
Blue Velvet, movie, avant-garde
The American, movie, avant-garde
Antichrist, movie, avant-garde
The Holy Mountain, movie, avant-garde
The Tree of Life, movie, avant-garde
Eraserhead, movie, avant-garde
Gummo, movie, avant-garde
Lost Highway, movie, avant-garde
The Elephant Man, movie, avant-garde
Wild at Heart, movie, avant-garde
Carnivàle (2003–2005)), movie, avant-garde
Patch Adams, movie, avant-garde
Twin Peaks: Fire Walk with Me, movie, avant-garde
Army of Darkness, movie, avant-garde
Hardcore Henry, movie, avant-garde
Monos, movie, avant-garde
"Synecdoche\, New York", movie, avant-garde
Black Christmas, movie, avant-garde
Darkman, movie, avant-garde
Evil Dead II, movie, avant-garde
Persona, movie, avant-garde
"The Cook\, the Thief\, His Wife & Her Lover", movie, avant-garde
Pi, movie, avant-garde
The Brown Bunny, movie, avant-garde
The Mirror, movie, avant-garde
Inland Empire, movie, avant-garde
Koyaanisqatsi, movie, avant-garde
Pink Floyd: The Wall, movie, avant-garde
El Topo, movie, avant-garde
THX 1138, movie, avant-garde
Fantastic Planet, movie, avant-garde
The Straight Story, movie, avant-garde
The Last American Virgin, movie, avant-garde
Diamantino, movie, avant-garde
Avengers: Endgame, movie, battle
The Lion King, movie, battle
Spider-Man: Into the Spider-Verse, movie, battle
John Wick: Chapter 3 - Parabellum, movie, battle
Vikings (2013–), movie, battle
It ), movie, battle
Godzilla: King of the Monsters, movie, battle
Fantastic Beasts: The Crimes of Grindelwald, movie, battle
Star Trek: The Next Generation (1987–1994)), movie, battle
Spider-Man: Homecoming, movie, battle
Thor: Ragnarok, movie, battle
Avengers: Infinity War, movie, battle
Ladyhawke, movie, battle
Aquaman, movie, battle
Avatar, movie, battle
Suicide Squad, movie, battle
Dark Phoenix, movie, battle
Deadpool 2, movie, battle
The NeverEnding Story, movie, battle
Black Panther, movie, battle
Venom, movie, battle
Overlord, movie, battle
Power Rangers, movie, battle
Guardians of the Galaxy, movie, battle
Inception, movie, battle
The Hunger Games, movie, battle
Robin Hood, movie, battle
Forrest Gump, movie, battle
Spartacus (2010–2013)), movie, battle
Flesh+Blood, movie, battle
Wynonna Earp (2016–), movie, battle
Doctor Strange, movie, battle
Ready Player One, movie, battle
Justice League, movie, battle
Captain America: Civil War, movie, battle
The Lord of the Rings: The Fellowship of the Ring, movie, battle
Maleficent: Mistress of Evil, movie, battle
Gladiator, movie, battle
Mile 22, movie, battle
Harry Potter and the Deathly Hallows: Part 2, movie, battle
The Avengers, movie, battle
The Dark Knight Rises, movie, battle
Terminator 2: Judgment Day, movie, battle
Thor, movie, battle
Kong: Skull Island, movie, battle
Solo: A Star Wars Story, movie, battle
Guardians of the Galaxy Vol. 2, movie, battle
Beauty and the Beast, movie, battle
Battlestar Galactica (2004–2009)), movie, battle
Hellboy, movie, battle
Veronica Mars (2004–), movie, betrayal
Spider-Man: Far from Home, movie, betrayal
The Lion King, movie, betrayal
Game of Thrones (2011–2019)), movie, betrayal
Orange Is the New Black (2013–2019)), movie, betrayal
Spider-Man: Into the Spider-Verse, movie, betrayal
John Wick: Chapter 3 - Parabellum, movie, betrayal
Captain Marvel, movie, betrayal
Bohemian Rhapsody, movie, betrayal
It ), movie, betrayal
Inglourious Basterds, movie, betrayal
Godzilla: King of the Monsters, movie, betrayal
The Flash (2014–), movie, betrayal
Fantastic Beasts: The Crimes of Grindelwald, movie, betrayal
Thor: Ragnarok, movie, betrayal
Avengers: Infinity War, movie, betrayal
A Simple Favor, movie, betrayal
Blade Runner 2049, movie, betrayal
The Lion King 2: Simba's Pride, movie, betrayal
The Shawshank Redemption, movie, betrayal
Aquaman, movie, betrayal
The Dark Knight, movie, betrayal
The Hateful Eight, movie, betrayal
Interstellar, movie, betrayal
Avatar, movie, betrayal
Suicide Squad, movie, betrayal
Gossip Girl (2007–2012)), movie, betrayal
Bad Times at the El Royale, movie, betrayal
John Wick, movie, betrayal
Reservoir Dogs, movie, betrayal
The Wolf of Wall Street, movie, betrayal
Dark Phoenix, movie, betrayal
Mission: Impossible - Fallout, movie, betrayal
The Godfather, movie, betrayal
Black Panther, movie, betrayal
Venom, movie, betrayal
Power Rangers, movie, betrayal
Get Out ), movie, betrayal
Guardians of the Galaxy, movie, betrayal
Batman Begins, movie, betrayal
The Matrix, movie, betrayal
The Jungle Book, movie, betrayal
Mad Max: Fury Road, movie, betrayal
Love ), movie, betrayal
Inception, movie, betrayal
Baby Driver, movie, betrayal
The Spy Who Dumped Me, movie, betrayal
Robin Hood, movie, betrayal
Spartacus (2010–2013)), movie, betrayal
The Meg, movie, betrayal
Captain Marvel, movie, biker
Sons of Anarchy (2008–2014)), movie, biker
Wynonna Earp (2016–), movie, biker
The Mule, movie, biker
Terminator 2: Judgment Day, movie, biker
From Dusk Till Dawn, movie, biker
Buffy the Vampire Slayer, movie, biker
Men in Black 3, movie, biker
Batman Forever, movie, biker
Weird Science, movie, biker
Mandy, movie, biker
10 Things I Hate About You, movie, biker
Under the Skin ), movie, biker
Batman & Robin, movie, biker
Little Miss Sunshine, movie, biker
Mad Max, movie, biker
Easy Rider, movie, biker
Revenge ), movie, biker
Mad Max 2: The Road Warrior, movie, biker
Inherent Vice, movie, biker
Ghost Rider, movie, biker
The First Purge, movie, biker
Raising Arizona, movie, biker
Sin City: A Dame to Kill For, movie, biker
Happy Days (1974–1984)), movie, biker
Indiana Jones and the Kingdom of the Crystal Skull, movie, biker
Blood Father, movie, biker
Grease 2, movie, biker
Homefront ), movie, biker
Anchorman: The Legend of Ron Burgundy, movie, biker
Cry-Baby, movie, biker
Erin Brockovich, movie, biker
Mask, movie, biker
The Muppet Movie, movie, biker
Grosse Pointe Blank, movie, biker
Cobra, movie, biker
The Counsellor, movie, biker
The Blob, movie, biker
Ghost Rider: Spirit of Vengeance, movie, biker
Hardcore Henry, movie, biker
Dawn of the Dead, movie, biker
Killer Klowns from Outer Space, movie, biker
Regular Show (2009–2017)), movie, biker
Kill the Irishman, movie, biker
Smokey and the Bandit, movie, biker
Killer Joe, movie, biker
After Hours, movie, biker
The SpongeBob SquarePants Movie, movie, biker
Ride Along, movie, biker
Vanishing Point, movie, biker
Avengers: Endgame, movie, blockbuster
The Lion King, movie, blockbuster
Top Gun, movie, blockbuster
Spider-Man: Into the Spider-Verse, movie, blockbuster
It ), movie, blockbuster
Godzilla: King of the Monsters, movie, blockbuster
Pulp Fiction, movie, blockbuster
Fantastic Beasts: The Crimes of Grindelwald, movie, blockbuster
Spider-Man: Homecoming, movie, blockbuster
Thor: Ragnarok, movie, blockbuster
Avengers: Infinity War, movie, blockbuster
Aquaman, movie, blockbuster
The Dark Knight, movie, blockbuster
Interstellar, movie, blockbuster
The Goonies, movie, blockbuster
Avatar, movie, blockbuster
Suicide Squad, movie, blockbuster
Dark Phoenix, movie, blockbuster
Mission: Impossible - Fallout, movie, blockbuster
Harry Potter and the Sorcerer's Stone, movie, blockbuster
Black Panther, movie, blockbuster
Venom, movie, blockbuster
Titanic, movie, blockbuster
Get Out ), movie, blockbuster
Guardians of the Galaxy, movie, blockbuster
Batman Begins, movie, blockbuster
The Matrix, movie, blockbuster
Apollo 13 ), movie, blockbuster
Inception, movie, blockbuster
The Hunger Games, movie, blockbuster
Mary Poppins, movie, blockbuster
Forrest Gump, movie, blockbuster
The Silence of the Lambs, movie, blockbuster
Spider-Man, movie, blockbuster
Doctor Strange, movie, blockbuster
Ready Player One, movie, blockbuster
Justice League, movie, blockbuster
Captain America: Civil War, movie, blockbuster
Gladiator, movie, blockbuster
Alien, movie, blockbuster
A League of Their Own, movie, blockbuster
The Avengers, movie, blockbuster
The Dark Knight Rises, movie, blockbuster
Toy Story, movie, blockbuster
Iron Man, movie, blockbuster
Jurassic Park, movie, blockbuster
Back to the Future, movie, blockbuster
The Shining, movie, blockbuster
2001: A Space Odyssey, movie, blockbuster
Terminator 2: Judgment Day, movie, blockbuster
Hotel Mumbai, movie, bollywood
Dangal, movie, bollywood
3 Idiots, movie, bollywood
The Love Guru, movie, bollywood
Bride & Prejudice, movie, bollywood
Penalty, movie, bollywood
Bhavesh Joshi Superhero, movie, bollywood
Newton, movie, bollywood
Raid, movie, bollywood
Aiyaary, movie, bollywood
Highway ), movie, bollywood
Toilet - Ek Prem Katha, movie, bollywood
Jab We Met, movie, bollywood
Rab Ne Bana Di Jodi, movie, bollywood
I'm Always Here, movie, bollywood
Dostana, movie, bollywood
Mostly Sunny, movie, bollywood
Ra.One, movie, bollywood
The Cheetah Girls: One World, movie, bollywood
Bombay Talkies, movie, bollywood
"Carry On, Munna Bhai", movie, bollywood
Rangeela, movie, bollywood
Badmaa$h Company, movie, bollywood
Neal 'N' Nikki, movie, bollywood
Kaun?, movie, bollywood
Dr. Cabbie, movie, bollywood
Bachna Ae Haseeno, movie, bollywood
Flat 211, movie, bollywood
Sweetiee Weds NRI, movie, bollywood
Bir Baba Hindu, movie, bollywood
Gupt: The Hidden Truth, movie, bollywood
Uvaa, movie, bollywood
Delhi Safari, movie, bollywood
Children of War, movie, bollywood
Crook: It's Good to Be Bad, movie, bollywood
Bobby, movie, bollywood
Bollywood Queen, movie, bollywood
Filmistaan, movie, bollywood
Aashayein, movie, bollywood
Hero ), video movie, bollywood
Superman, movie, bollywood
Shabnam Mausi, movie, bollywood
Badman, movie, bollywood
Americanizing Shelley, movie, bollywood
