title, kind, keyword
Forrest Gump, movie, americana
A League of Their Own, movie, americana
Fargo, movie, americana
What's Eating Gilbert Grape, movie, americana
American Graffiti, movie, americana
There Will Be Blood, movie, americana
Wildlife, movie, americana
The Rocky Horror Picture Show, movie, americana
Blue Velvet, movie, americana
It's a Wonderful Life, movie, americana
"O Brother\, Where Art Thou?", movie, americana
Across the Universe, movie, americana
The Girl Next Door, movie, americana
Convoy, movie, americana
Walking Tall, movie, americana
A River Runs Through It, movie, americana
The Last Picture Show, movie, americana
Giant, movie, americana
Days of Heaven, movie, americana
The Natural, movie, americana
Peggy Sue Got Married, movie, americana
W., movie, americana
Serial Mom, movie, americana
Divine Secrets of the Ya-Ya Sisterhood, movie, americana
Oklahoma!, movie, americana
How to Make an American Quilt, movie, americana
Sgt. Stubby: An American Hero, movie, americana
My Blueberry Nights, movie, americana
The Best Years of Our Lives, movie, americana
Wild Hearts Can't Be Broken, movie, americana
Shadow of a Doubt, movie, americana
Far Cry 5, movie, americana
My Dog Skip, movie, americana
Meet Me in St. Louis, movie, americana
"The Long\, Long Trailer", movie, americana
Pollyanna, movie, americana
Hud, movie, americana
The Road to Wellville, movie, americana
Mannequin: On the Move, movie, americana
Meet Monica Velour, movie, americana
Spirited Away, movie, anime
Your Name., movie, anime
Howl's Moving Castle, movie, anime
Akira, movie, anime
A Silent Voice, movie, anime
Princess Mononoke, movie, anime
Grave of the Fireflies, movie, anime
Tokyo Ghoul, movie, anime
Ghost in the Shell, movie, anime
Neon Genesis Evangelion: The End of Evangelion, movie, anime
Gunnm, movie, anime
My Neighbor Totoro, movie, anime
Dragon Ball Super: Broly, movie, anime
Violet Evergarden, movie, anime
Ponyo, movie, anime
Kiki's Delivery Service, movie, anime
Perfect Blue, movie, anime
Pokémon the Movie: Mewtwo Strikes Back Evolution, movie, anime
The Wind Rises, movie, anime
Nausicaä of the Valley of the Wind, movie, anime
Mirai, movie, anime
Castle in the Sky, movie, anime
Watchmen, movie, avant-garde
2001: A Space Odyssey, movie, avant-garde
A Clockwork Orange, movie, avant-garde
Donnie Darko, movie, avant-garde
The Big Lebowski, movie, avant-garde
Memento, movie, avant-garde
Ex Machina, movie, avant-garde
"Salò\, or the 120 Days of Sodom", movie, avant-garde
Bram Stoker's Dracula, movie, avant-garde
Mulholland Drive, movie, avant-garde
The Neon Demon, movie, avant-garde
A Nightmare on Elm Street, movie, avant-garde
I Am the Night, movie, avant-garde
Easy Rider, movie, avant-garde
Sex and Zen, movie, avant-garde
Revenge, movie, avant-garde
Blue Velvet, movie, avant-garde
The American, movie, avant-garde
Antichrist, movie, avant-garde
The Holy Mountain, movie, avant-garde
The Tree of Life, movie, avant-garde
Eraserhead, movie, avant-garde
Gummo, movie, avant-garde
Lost Highway, movie, avant-garde
The Elephant Man, movie, avant-garde
Wild at Heart, movie, avant-garde
Patch Adams, movie, avant-garde
Twin Peaks: Fire Walk with Me, movie, avant-garde
Army of Darkness, movie, avant-garde
Hardcore Henry, movie, avant-garde
Monos, movie, avant-garde
"Synecdoche\, New York", movie, avant-garde
Black Christmas, movie, avant-garde
Darkman, movie, avant-garde
Evil Dead II, movie, avant-garde
Persona, movie, avant-garde
"The Cook\, the Thief\, His Wife & Her Lover", movie, avant-garde
Pi, movie, avant-garde
The Brown Bunny, movie, avant-garde
The Mirror, movie, avant-garde
Inland Empire, movie, avant-garde
Koyaanisqatsi, movie, avant-garde
Pink Floyd: The Wall, movie, avant-garde
El Topo, movie, avant-garde
THX 1138, movie, avant-garde
Fantastic Planet, movie, avant-garde
The Straight Story, movie, avant-garde
The Last American Virgin, movie, avant-garde
Diamantino, movie, avant-garde
Avengers: Endgame, movie, battle
The Lion King, movie, battle
Spider-Man: Into the Spider-Verse, movie, battle
John Wick: Chapter 3 - Parabellum, movie, battle
It, movie, battle
Godzilla: King of the Monsters, movie, battle
Fantastic Beasts: The Crimes of Grindelwald, movie, battle
Spider-Man: Homecoming, movie, battle
Thor: Ragnarok, movie, battle
Avengers: Infinity War, movie, battle
Ladyhawke, movie, battle
Aquaman, movie, battle
Avatar, movie, battle
Suicide Squad, movie, battle
Dark Phoenix, movie, battle
Deadpool 2, movie, battle
The NeverEnding Story, movie, battle
Black Panther, movie, battle
Venom, movie, battle
Overlord, movie, battle
Power Rangers, movie, battle
Guardians of the Galaxy, movie, battle
Inception, movie, battle
The Hunger Games, movie, battle
Robin Hood, movie, battle
Forrest Gump, movie, battle
Flesh+Blood, movie, battle
Doctor Strange, movie, battle
Ready Player One, movie, battle
Justice League, movie, battle
Captain America: Civil War, movie, battle
The Lord of the Rings: The Fellowship of the Ring, movie, battle
Maleficent: Mistress of Evil, movie, battle
Gladiator, movie, battle
Mile 22, movie, battle
Harry Potter and the Deathly Hallows: Part 2, movie, battle
The Avengers, movie, battle
The Dark Knight Rises, movie, battle
Terminator 2: Judgment Day, movie, battle
Thor, movie, battle
Kong: Skull Island, movie, battle
Solo: A Star Wars Story, movie, battle
Guardians of the Galaxy Vol. 2, movie, battle
Beauty and the Beast, movie, battle
Hellboy, movie, battle
Spider-Man: Far from Home, movie, betrayal
The Lion King, movie, betrayal
Spider-Man: Into the Spider-Verse, movie, betrayal
John Wick: Chapter 3 - Parabellum, movie, betrayal
Captain Marvel, movie, betrayal
Bohemian Rhapsody, movie, betrayal
It, movie, betrayal
Inglourious Basterds, movie, betrayal
Godzilla: King of the Monsters, movie, betrayal
Fantastic Beasts: The Crimes of Grindelwald, movie, betrayal
Thor: Ragnarok, movie, betrayal
Avengers: Infinity War, movie, betrayal
A Simple Favor, movie, betrayal
Blade Runner 2049, movie, betrayal
The Lion King 2: Simba's Pride, movie, betrayal
The Shawshank Redemption, movie, betrayal
Aquaman, movie, betrayal
The Dark Knight, movie, betrayal
The Hateful Eight, movie, betrayal
Interstellar, movie, betrayal
Avatar, movie, betrayal
Suicide Squad, movie, betrayal
Bad Times at the El Royale, movie, betrayal
John Wick, movie, betrayal
Reservoir Dogs, movie, betrayal
The Wolf of Wall Street, movie, betrayal
Dark Phoenix, movie, betrayal
Mission: Impossible - Fallout, movie, betrayal
The Godfather, movie, betrayal
Black Panther, movie, betrayal
Venom, movie, betrayal
Power Rangers, movie, betrayal
Get Out, movie, betrayal
Guardians of the Galaxy, movie, betrayal
Batman Begins, movie, betrayal
The Matrix, movie, betrayal
The Jungle Book, movie, betrayal
Mad Max: Fury Road, movie, betrayal
Love, movie, betrayal
Inception, movie, betrayal
Baby Driver, movie, betrayal
The Spy Who Dumped Me, movie, betrayal
Robin Hood, movie, betrayal
The Meg, movie, betrayal
Captain Marvel, movie, biker
The Mule, movie, biker
Terminator 2: Judgment Day, movie, biker
From Dusk Till Dawn, movie, biker
Buffy the Vampire Slayer, movie, biker
Men in Black 3, movie, biker
Batman Forever, movie, biker
Weird Science, movie, biker
Mandy, movie, biker
10 Things I Hate About You, movie, biker
Under the Skin, movie, biker
Batman & Robin, movie, biker
Little Miss Sunshine, movie, biker
Mad Max, movie, biker
Easy Rider, movie, biker
Revenge, movie, biker
Mad Max 2: The Road Warrior, movie, biker
Inherent Vice, movie, biker
Ghost Rider, movie, biker
The First Purge, movie, biker
Raising Arizona, movie, biker
Sin City: A Dame to Kill For, movie, biker
Indiana Jones and the Kingdom of the Crystal Skull, movie, biker
Blood Father, movie, biker
Grease 2, movie, biker
Homefront, movie, biker
Anchorman: The Legend of Ron Burgundy, movie, biker
Cry-Baby, movie, biker
Erin Brockovich, movie, biker
Mask, movie, biker
The Muppet Movie, movie, biker
Grosse Pointe Blank, movie, biker
Cobra, movie, biker
The Counsellor, movie, biker
The Blob, movie, biker
Ghost Rider: Spirit of Vengeance, movie, biker
Hardcore Henry, movie, biker
Dawn of the Dead, movie, biker
Killer Klowns from Outer Space, movie, biker
Kill the Irishman, movie, biker
Smokey and the Bandit, movie, biker
Killer Joe, movie, biker
